ImageNumber,ObjectNumber,Annotation,Cell_objectnumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cells_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_Cells_Distance_Centroid_FilteredNuclei_nei,Mean_Cells_Location_Center_X,Mean_Cells_Location_Center_Y,Mean_Cells_Location_Center_Z,Mean_Cells_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,1,,,1542,1904,2198,44,2130,16,2164.16537,28.96044099,1542,-7.61E-12,481074.8307,-642535.5024,-2.64E-12,30025.08755,-321742.9622,20711354.84,78894.5869,65465.35647,20022772.6,-19062747.66,1.456247413,1614,0.917263495,44.30954048,1,0.80987395,0.686696499,0.235502522,0.029246895,0.000195337,4.77E-05,4.01E-09,5.82E-06,2.26E-09,313.4267327,49.71815556,311.9810835,-19.47152241,-19.47152241,51.16380473,70.81544833,67.60177512,14,5.971295336,5.743903072,27,28.20444094,nan,nan,0.202322363,-0.006881549,nan,0.012627446,-0.003445864,0.005648789,0.033180159,0.000701133,0.005460986,-0.000132401,0.00036791,0.000863271,-0.000212666,0.000326418,85.75390643,167.9827561,0.955390335,1542,52683,2281009,110161179,19985,712820,31292776,1520613788,337909,12388528,544575908,26320324168,0.429613868,0.010284398,0.156014992,0.099282303,0.012048097,0.002486707,0.036412515,0.057463376,0.039836445,0.008014687,0.003376732,0.00228064,0.009889326,0.008809885,0.017116864,0.019228534,0.002181586,0.005991642,0.003603308,0.001272198,0.004544875,0.005417993,0.006581936,0.001977144,0.010201767,0.00336091,0.003799335,0.004000062,0.001645612,0.000977937,0,2164.16537,28.96044099,0,nan,nan,nan,nan,nan,1,1
1,2,,,1219,1770,2127,46,2068,16,2096.869565,30.82034454,1219,-2.96E-12,235728.2609,-13016.80151,2.27E-12,12959.43478,60666.31605,5924370.835,61193.65546,5547.379356,6773916.325,8080176.047,1.367060036,1266,0.863422817,39.39643391,1,0.688700565,0.731496769,0.199818109,0.014100085,1.53E-05,6.71E-07,-1.99E-12,-7.79E-08,-8.04E-13,194.1634695,49.4148048,193.3783928,-10.63120163,-10.63120163,50.19988142,55.73702101,58.30951895,14.86606875,5.769406107,5.099019514,29,28.11826589,nan,nan,0.15863691,-0.000250897,nan,0.008721248,0.001169333,0.003270628,0.041181199,0.000106925,0.003739631,0.000127764,-0.000363188,0.000525751,5.03E-05,0.000140624,85.77657547,144.7106781,0.962875197,1219,35192,1251706,49733936,18066,534517,19359647,780655861,328938,9885971,357001481,14296521155,0.456493825,0.013005983,0.194124533,0.07737218,0.008322878,0.009675715,0.037559534,0.041562861,0.033754313,0.00250757,0.006310581,0.008077929,0.014900447,0.004135545,0.017272703,0.018215877,0.004343035,0.001857838,0.003862444,0.006727686,0.019711189,0.015990186,0.004233242,0.006736098,0.010928815,0.003422763,0.003277371,0.003119222,0.002689624,0.005404007,0,2096.869565,30.82034454,0,nan,nan,nan,nan,nan,2,2
1,3,,,1615,2268,1359,69,1317,15,1336.305882,42.0873065,1615,9.88E-13,169888.8941,35799.73536,2.74E-12,90928.87059,152743.3287,20133644.03,305100.6898,132547.9545,29585359.1,58068098.44,1.213832094,1666,0.803735724,45.34624422,1,0.712081129,0.823837173,0.182112197,0.007548977,4.25E-05,2.67E-06,-7.65E-14,-6.17E-08,-2.84E-11,217.2151162,76.89608122,105.1943617,-56.30270625,-56.30270625,188.9168358,58.9528783,58.30951895,17.88854382,7.004316376,6.32455532,35.32987404,35.07616426,nan,nan,0.065135828,0.000341545,nan,0.034862357,0.001457239,0.004779746,0.116976369,0.001264567,0.007023592,0.000343031,-0.001156377,0.008107035,0.000297105,0.000943276,26.68454137,156.9533188,0.969387755,1615,31179,771827,21496311,43746,935484,24570382,712929576,1490062,33825546,913203864,26965547394,0.604788784,0.014512288,0.185562548,0.099569002,0.012042059,0.003166042,0.005384761,0.024716834,0.033052123,0.00355368,0.006309708,0.004840723,0.02194443,0.024372243,0.004139963,0.012806448,0.008379747,0.005327324,0.003237246,0.002822582,0.0078605,0.008374527,0.015510465,0.00782216,0.004351426,0.001334073,0.002929286,0.003225668,0.000409105,0.001484975,0,1336.305882,42.0873065,0,nan,nan,nan,nan,nan,3,3
1,4,M,1,1934,3003,935,198,896,121,916.2011375,157.1168563,1934,3.02E-12,153282.7575,30904.51275,1.22E-11,-134873.4571,-253508.9619,-22810389.63,733843.5905,-99119.191,53452030.95,35467729.75,1.897620437,2110,0.915588828,49.62303174,1,0.644022644,0.526975775,0.237176982,0.029292822,0.000210806,6.77E-05,8.08E-09,1.09E-05,1.08E-10,394.8536016,63.84668169,79.25685496,69.73808536,69.73808536,379.4434284,79.48369409,77.87810989,16.1245155,6.227953718,5.830951895,32.984845,31.96164744,nan,nan,0.040980794,0.00018788,nan,-0.036058989,-0.001541176,-0.003153286,0.196196188,-0.000602583,0.007389155,0.00011149,0.009757834,-0.014135854,-0.000118711,-0.001028269,-12.46053525,214.7523087,0.916587678,1934,39069,942521,25263873,69850,1276176,28338192,709157880,3256606,55945616,1166441340,27473376608,0.406009115,0.020951932,0.158192608,0.089674573,0.004315176,0.008733732,0.039513002,0.055899524,0.036784086,0.003834225,0.006315988,0.006229549,0.008893296,0.011408511,0.019222297,0.018495879,0.002602445,0.007385481,0.00462744,0.004015977,0.003215174,0.007245139,0.004020478,0.006309544,0.009942534,0.004048153,0.005410432,0.002965215,0.003498903,0.002890366,1,916.2011375,157.1168563,0,8.589230786,917.224869,148.5888518,0,1,4,4
1,5,,2,1181,1786,2161,205,2114,167,2136.991533,184.996613,1181,-5.69E-12,163237.9153,9680.603138,-1.78E-12,-58722.03387,-38755.56535,-15793781.1,96911.98645,19206.81433,12341184.65,13158515.89,1.248577006,1225,0.826365755,38.777518,1,0.661254199,0.800911754,0.18651934,0.009351613,8.18E-06,6.71E-07,1.50E-12,5.90E-08,-4.72E-13,167.2432286,53.03611241,138.2200807,49.72229794,49.72229794,82.05926033,51.72902143,51.4781507,14.31782106,5.946242558,5.385164807,28.56706011,29.13035871,nan,nan,0.117036478,0.000201966,nan,-0.042101861,-0.000808555,-0.009588185,0.069482862,0.00040071,0.007492162,0.000232451,0.000253541,-0.005811717,-0.000141106,-0.00110796,-59.72768212,136.1248917,0.964081633,1181,27153,787527,25622313,21254,429940,11433844,349524658,479412,8928028,220931272,6354686350,0.567432416,0.015773559,0.189216179,0.09743923,0.007298576,0.009296605,0.002638504,0.036651969,0.029777951,0.003621184,0.000382106,0.007343643,0.016853367,0.021397321,0.000719625,0.011287371,0.004393507,0.006776408,0.001386216,0.005081325,0.012192178,0.01278239,0.017215218,0.007563023,0.00544464,0.002323271,0.001951278,0.003191249,0.003065397,0.003336369,1,2136.991533,184.996613,0,4.670553474,2135.54882,189.4387578,0,2,5,5
1,6,,,1768,2376,50,431,6,377,27.54751131,402.8699095,1768,-1.53E-12,194252.009,125378.3068,1.31E-11,442.9276018,-94738.72841,-628762.0835,324096.0792,-240710.4102,23293557.08,-29210631.5,1.161058161,1835,0.632962838,47.44562693,1,0.744107744,0.861283296,0.165827663,0.001725581,5.18E-05,8.71E-07,-4.89E-12,-2.80E-08,3.21E-12,183.3131166,109.8701913,109.8710458,-0.250524662,-0.250524662,183.312262,54.15726973,54.34151268,20.22374842,7.635215207,7,42.75714934,41.92759306,nan,nan,0.062144257,0.000953931,nan,0.000141699,-0.000720812,-0.000113773,0.103683406,-0.001831425,0.004214917,-0.000125705,0.001038057,0.000370511,-0.000212751,2.78E-05,0.195445879,160.6101731,0.963487738,1768,38096,1015126,30370112,45738,985983,26185567,779536083,1507334,32261503,838857575,24391441951,0.762305288,0.046878075,0.151066835,0.07378654,0.010030868,0.006599248,0.050525062,0.013043101,0.023967437,0.022374354,0.006397388,0.012765552,0.001366895,0.01469909,0.005627608,0.005944025,0.01001554,0.005553968,0.006861549,0.00439998,0.006154916,0.010532502,0.003465645,0.010564648,0.003079998,0.010529258,0.007008873,0.00243202,0.004728237,0.000317899,0,27.54751131,402.8699095,0,nan,nan,nan,nan,nan,6,6
1,7,M,3,1783,2262,1277,489,1251,402,1263.495233,445.1284352,1783,2.12E-12,71117.70948,12666.98209,2.96E-12,60304.5917,27868.1997,6243987.073,979061.5883,-110380.3993,34218300.12,-1722858.133,1.837608205,1868,0.965252624,47.64647005,1,0.788240495,0.544185642,0.330339697,0.083005966,2.33E-05,1.12E-05,1.80E-10,3.07E-06,-1.79E-11,551.345729,37.64995117,39.88654486,-33.82198076,-33.82198076,549.1091354,93.92300924,86.46964785,11.70469991,5.478751761,5,22.8995872,24.54382241,nan,nan,0.022370468,9.44E-05,nan,0.018969142,0.000207602,0.00110156,0.307969229,-0.000822268,0.006036767,-7.20E-06,-0.003470743,0.009969607,-6.75E-05,0.000508798,3.783370156,202.9116882,0.954496788,1783,22279,349499,6157003,76898,1021163,16608253,301076771,4295552,58765227,966807697,17656848483,0.303282015,0.000902575,0.112616465,0.083102742,0.002189375,0.000775577,0.043294933,0.055303111,0.039872162,0.000443088,0.001245121,0.001276856,0.026585912,0.023131538,0.028476449,0.022318902,0.000782173,0.001195332,0.000250399,0.001300492,0.010992025,0.011541445,0.010622891,0.013800274,0.013386696,0.000585971,0.00060674,0.000940246,0.000274583,0.001141622,1,1263.495233,445.1284352,0,50.85631975,1258.391911,394.528817,0,3,7,7
1,8,M,4,1776,2116,2156,487,2064,464,2107.524775,475.4769144,1776,1.38E-11,1081704.91,2385352.986,-1.45E-12,12121.51577,534457.9508,17276230.36,61035.05349,-153587.4886,31085391.02,-72384004.02,1.988605509,1856,0.971450301,47.55284883,1,0.839319471,0.502864945,0.362294293,0.104771624,0.000607367,0.000296944,1.24E-07,8.73E-05,2.05E-08,609.1491246,34.28553952,609.0680799,-6.825177796,-6.825177796,34.36658417,98.72378636,91.13725912,11,5.242389199,5,21.976168,23.42154206,nan,nan,0.342943739,0.017945074,nan,0.003843006,0.004020741,0.003084041,0.019350554,-0.001155443,0.005549163,-0.000306614,-0.00014102,0.000141878,0.00014632,9.91E-05,89.31968096,210.6690476,0.956896552,1776,77300,4446170,290065826,20383,899287,52617943,3485012593,294969,12963107,755476523,49933296593,0.272059633,0.012125467,0.102633881,0.075660065,0.002703724,0.007103805,0.042925222,0.05127399,0.037287496,0.001075847,0.003382631,0.005202702,0.028386432,0.02333408,0.028426006,0.02134339,0.001248464,0.000915526,0.003668527,0.004027781,0.013168651,0.013869214,0.012716034,0.015392292,0.013031756,0.000963524,0.001721333,0.001142145,0.003610881,0.00310065,1,2107.524775,475.4769144,0,10.06844239,2097.457831,475.3031853,0,4,8,8
1,9,,5,1452,2124,519,511,483,452,500.1831956,480.3725895,1452,2.13E-14,101801.27,39426.44103,8.75E-12,5698.891185,-70832.26729,250929.6225,285587.4291,-96701.97952,11428999.91,-4380818.794,1.300177049,1530,0.802729905,42.99702105,1,0.683615819,0.769126021,0.183744232,0.007628273,4.26E-05,2.93E-06,2.68E-11,1.54E-07,1.87E-11,196.8071434,69.98948126,70.11106747,-3.924856188,-3.924856188,196.6855572,56.11518774,58.54912467,17.72004515,6.461331013,5.830951895,35,33.46388651,nan,nan,0.048285859,0.000490762,nan,0.002703069,-0.000881687,8.20E-05,0.135458373,-0.001203702,0.003733433,-3.76E-05,0.002436696,0.001434015,-0.000156019,4.12E-05,1.774370662,154.0243866,0.949019608,1452,24950,530522,12654032,41197,713595,15177301,360675213,1454453,25218833,526595295,12228098939,0.539306832,0.024672195,0.201261229,0.079121031,0.015462554,0.004472002,0.009482354,0.02797784,0.034501435,0.006201328,0.007598737,0.001129938,0.025604291,0.020244798,0.015208352,0.016886537,0.010447294,0.007229101,0.004140412,0.001313729,0.014516707,0.010990255,0.007604418,0.002942032,0.009701579,0.000222594,0.004815956,0.001503504,0.001546855,0.001516002,1,500.1831956,480.3725895,0,10.67629783,492.1319328,473.3611345,0,5,9,9
1,10,,6,1665,2401,504,627,455,578,479.9153153,602.8192192,1665,-2.10E-12,246553.0595,-208618.1845,-1.26E-11,-79021.49009,29610.39327,-21375461.3,225870.585,199327.254,27383613,31034512.03,1.188326976,1727,0.710315998,46.04284789,1,0.693461058,0.841519229,0.170413168,0.003305736,5.68E-05,1.96E-06,3.19E-12,-2.76E-08,-2.05E-11,189.7339932,94.00393141,148.0799156,47.46035441,47.46035441,135.658009,55.09758516,54.67174773,19.20937271,7.352361815,6.708203932,38.46036921,38.78224984,nan,nan,0.088936886,-0.001844236,nan,-0.028504717,0.000261763,-0.004630979,0.081476282,0.001762102,0.005932641,0.000164776,-0.001660251,-0.005126821,-0.000285368,-0.00066989,-48.72785402,157.6812409,0.964099595,1665,41484,1280140,43972368,41324,950579,27863995,925034429,1251500,27458341,772097661,24773109535,0.709128922,0.02832553,0.168430881,0.091328163,0.013623283,0.012259421,0.034730309,0.007257291,0.023198732,0.010950531,0.007603863,0.013622622,0.019893777,0.022724738,0.014407991,0.006598144,0.004156129,0.001464698,0.007212461,0.006593697,0.008815765,0.007569966,0.003083061,0.008859022,0.002073916,0.008210329,0.00091717,0.006301854,0.00371848,0.002362986,1,479.9153153,602.8192192,0,6.350912009,478.0990947,596.7335454,0,6,10,10
1,11,,7,1363,1914,667,623,609,590,636.6933236,607.1137197,1363,5.54E-13,286867.8092,510712.1163,1.99E-13,33738.53485,42933.51881,15124921.83,82327.37344,-134427.2024,13197959.05,-2373684.364,1.406225926,1445,0.858419485,41.65843851,1,0.712121212,0.711123285,0.198730403,0.013441274,0.00018373,3.01E-05,2.21E-09,3.32E-06,-3.79E-10,214.4455003,56.4240395,210.4679452,-24.75314369,-24.75314369,60.4015946,58.57583123,58.24087911,15.26433752,6.048082419,5.385164807,30.98634935,30.04637469,nan,nan,0.15441522,0.007446231,nan,0.01816078,0.000625975,0.00597318,0.044315183,-0.001959961,0.005212178,-2.54E-05,-0.000600959,0.001576339,-8.97E-05,0.000402731,80.87124214,155.1959595,0.943252595,1363,37746,1332180,53291850,23326,679713,24710153,1008337911,481522,14355301,524488193,21438082711,0.511623084,0.027739862,0.181768054,0.096311853,0.006765246,0.010747284,0.0204383,0.044553748,0.033531346,0.005265387,0.014552449,0.004169691,0.009237412,0.009886601,0.004685996,0.016058594,0.00460354,0.007757505,0.007705482,0.001602665,0.012601376,0.012731288,0.016269668,0.002431581,0.008253438,0.000719717,0.002892329,0.00449168,0.004288561,0.001436867,1,636.6933236,607.1137197,0,15.39401938,625.1097414,596.974861,0,7,11,11
1,12,M,8,2381,3360,1235,662,1193,582,1212.382612,620.0692986,2381,-2.61E-12,247494.4402,420530.3503,-2.13E-11,-165232.131,171455.5308,-38701181.91,987653.5657,-2280203.109,94820282.66,-395617328.7,1.433414765,2483,0.890203334,55.05981616,1,0.708630952,0.697634784,0.217871393,0.020443519,0.000738006,0.000135071,3.66E-08,1.33E-05,2.19E-08,429.5945773,89.15721009,103.945586,69.39610711,69.39610711,414.8062015,82.90665376,81.0246876,19,7.563637123,7,37.98708678,37.7692383,nan,nan,0.043656273,0.001520193,nan,-0.029145782,0.000619802,-0.002867121,0.17421512,-0.008242805,0.007024624,-0.000600644,0.008860592,-0.010566668,0.00125846,-0.000921215,-12.02983915,207.0954544,0.95892066,2381,46150,1142002,32149690,90643,1591666,37241410,1008958708,4438369,71166440,1557912748,39966995162,0.461391756,0.063483997,0.152801921,0.090520078,0.049886342,0.021247695,0.016694519,0.041885071,0.03190128,0.013498592,0.018604656,0.007430667,0.004052927,0.010096198,0.011919999,0.015416801,0.00692501,0.007413447,0.00559443,0.003560528,3.83E-05,0.003930274,0.011376183,0.005488938,0.00896336,0.010491047,0.010246356,0.009376912,0.004595472,0.002425059,1,1212.382612,620.0692986,0,21.77864171,1202.326586,639.3873102,0,8,12,12
1,13,,9,1462,2392,694,659,642,613,669.6354309,634.9746922,1462,-5.90E-12,225772.6847,-736290.9365,-2.36E-12,49672.51094,-431793.1493,17511577.76,153058.0636,220186.783,16436442.15,-49288074.4,1.473077565,1601,0.700389521,43.14482836,1,0.611204013,0.678850879,0.177235403,0.003317565,0.00069849,4.08E-05,6.33E-09,1.90E-06,-2.74E-09,171.6634424,87.45471649,154.4272809,-33.97572568,-33.97572568,104.690878,52.40815851,53.71219601,17.02938637,6.412208211,5.656854249,37.42050397,37.40689059,nan,nan,0.105627415,-0.009009092,nan,0.02323921,-0.005283325,0.005603807,0.071607988,0.002694156,0.005259757,-0.000412502,0.004308605,0.002868214,-0.000144576,0.000509687,63.10094948,164.509668,0.913179263,1462,40403,1342327,48838145,32127,937516,31810872,1168723642,859039,26143176,895375260,32829641982,0.63409434,0.084334298,0.164062656,0.081859165,0.017412407,0.01834232,0.005011763,0.012782951,0.013779827,0.017486614,0.030718682,0.021090605,0.010141787,0.014237323,0.004618044,0.00451303,0.009243791,0.003801446,0.010684282,0.010439925,0.010391753,0.002175581,0.004310188,0.001915579,0.006561745,0.001655871,0.009622892,0.008336444,0.008054923,0.005733055,1,669.6354309,634.9746922,0,15.68401337,680.5434269,646.2442928,0,9,13,13
1,14,,10,1585,2160,501,679,456,631,478.2037855,653.7981073,1585,-4.14E-12,185155.1773,90591.77128,-1.82E-12,-9868.788644,-177764.9921,-3230484.771,219263.3943,-75884.73737,16532249.95,6515851.708,1.151420726,1633,0.421402866,44.92309738,1,0.733796296,0.86849227,0.160980235,0.000246058,6.61E-05,1.62E-07,2.51E-14,7.48E-10,-5.30E-13,140.0081899,115.145483,116.8171466,6.226365075,6.226365075,138.3365264,47.3300226,47.38143096,21.02379604,7.481145881,6.708203932,41.60251472,42.92234532,nan,nan,0.07370167,0.000905765,nan,-0.003928306,-0.00177735,-0.000811297,0.087278566,-0.00075872,0.004151874,4.11E-05,0.002152178,-0.000442945,-0.000127911,-8.20E-05,-15.02844975,151.4386002,0.970606246,1585,35193,966573,29774463,36135,792465,21420021,649133571,1043073,22634305,595553005,17518361215,0.867781921,0.025609903,0.104777556,0.036856183,0.012191502,0.028602154,0.06314192,0.01658885,0.011728584,0.004324043,0.007949136,0.017200602,0.02507674,0.004062897,0.002853675,0.005348871,0.007517306,0.007917217,0.010698939,0.001110376,0.002212291,0.007900922,0.00209667,0.003705716,0.00097213,0.004750775,0.008378826,0.002828855,0.004738097,0.001678085,1,478.2037855,653.7981073,0,2.907026904,478.0901838,656.7029136,0,10,14,14
1,15,M,11,2275,4080,1156,691,1096,623,1125.694505,657.6505495,2275,-2.56E-13,476782.6813,-206332.6694,3.71E-11,-363741.8681,-769967.1194,-151274121.3,649701.1868,1369178.422,158728225.3,712469039.5,1.438529187,2411,0.893267857,53.82025608,1,0.557598039,0.695154474,0.217651756,0.020873238,0.000336195,7.01E-05,1.07E-08,1.00E-05,-9.28E-10,411.9200214,83.23772287,209.574805,159.8865354,159.8865354,285.5829393,81.18325161,78.5684415,18.43908891,7.334646277,6.708203932,37.4766594,36.49388395,nan,nan,0.092120793,-0.000835823,nan,-0.070279796,-0.003119024,-0.012847554,0.125530962,0.005546341,0.013480623,0.001268619,-0.00380509,-0.016571355,-0.001645806,-0.002855524,-38.31463058,202.7939392,0.943591871,2275,67555,2482795,101834689,78830,1977076,63657974,2346559348,3381204,76564648,2243498746,75836132056,0.469240234,0.02921981,0.164486076,0.101666159,0.004792804,0.00597861,0.027188402,0.056443011,0.034407709,0.00391448,0.009968667,0.003533843,0.006521069,0.003444795,0.010317563,0.013719504,0.001654498,0.008407925,0.009989429,0.003147122,0.007899806,0.007738728,0.01338381,0.003646766,0.00617189,0.00060477,0.002810781,0.00389711,0.007034507,0.002097816,1,1125.694505,657.6505495,0,4.744836595,1128.825847,654.0856968,0,11,15,15
1,16,M,12,1889,2573,2194,697,2163,614,2179.210164,658.2488089,1889,-1.59E-12,107911.5648,-165451.9484,-2.13E-11,-99268.77713,281235.3515,-12408065.7,892067.0598,1028460.855,45796559.31,28358977.2,1.692966855,1982,0.945708951,49.04232356,1,0.734162456,0.590679019,0.280237855,0.051387841,0.001386122,0.000583958,5.23E-07,0.00012928,5.20E-08,478.7922867,50.5770223,57.12629161,52.55096725,52.55096725,472.2430174,87.52529113,83.02409289,15,6.049583399,5.830951895,29.12884166,28.44700963,nan,nan,0.030241552,-0.001066822,nan,-0.027819464,0.001813385,-0.001840807,0.249996304,0.00663144,0.006794179,9.68E-05,-0.025329196,-0.014268796,-0.000360965,-0.000785214,-7.103972751,200.4680374,0.953077699,1889,30621,604283,13128603,83586,1255674,23801712,503939196,4590648,66658568,1236782170,25758180686,0.348926375,0.033408901,0.12815366,0.088527556,0.01999683,0.011458481,0.042174033,0.054553167,0.039142927,0.012200577,0.008527596,0.005524367,0.019505813,0.018325552,0.022530174,0.020380545,0.006480613,0.007237733,0.006505362,0.003972712,0.004113112,0.006163625,0.004594458,0.008517205,0.011412006,0.001928625,0.004003418,0.007012003,0.006158811,0.00338278,1,2179.210164,658.2488089,0,7.50271901,2185.264112,653.8170483,0,12,16,16
1,17,,13,1671,2176,2033,731,1969,697,2000.056254,713.2178336,1671,1.02E-11,477618.7121,173140.1856,1.39E-12,61320.52364,112735.4115,35058745.51,118530.7086,-79704.60096,32485910.5,-57090596,1.430187874,1800,0.88197802,46.12573337,1,0.767922794,0.699208837,0.213502137,0.018467645,2.14E-05,1.79E-06,-5.27E-12,1.78E-08,9.79E-12,291.9219038,64.84016721,285.8280743,-36.69690224,-36.69690224,70.93399674,68.34288889,64.84597135,14.76482306,6.335477257,6,31.16102255,32.20935695,nan,nan,0.171052109,0.001516899,nan,0.021961043,0.000987687,0.007513928,0.042450028,-0.0006983,0.006962508,-0.000299328,7.26E-05,0.00218999,0.000100344,0.000654899,80.57158932,173.2964646,0.928333333,1671,51895,2089283,94724539,27100,902945,37805151,1759218239,558034,19239713,818573043,38436511403,0.505965108,0.035295551,0.157622613,0.106837391,0.018422569,0.023852258,0.019025592,0.052815221,0.03043337,0.006783978,0.016303532,0.004921207,0.008964132,0.002490357,0.000563263,0.014507248,0.005357179,0.004897749,0.005336632,0.002971989,0.005391629,0.006873223,0.013437394,0.004649508,0.007547051,0.003744198,0.006844438,0.012993744,0.008798696,0.002698226,1,2000.056254,713.2178336,0,16.00170379,2015.791142,716.1277832,0,13,17,17
1,18,,14,1398,2695,1906,735,1857,680,1881.193133,707.6072961,1398,1.32E-12,191475.8541,-124487.0166,-6.65E-12,174117.03,-209316.7198,49390815.4,288117.4056,-209908.7704,54394064.03,-109274875.9,1.534094669,1473,0.927067162,42.18991448,1,0.518738404,0.651850254,0.245391055,0.034192926,0.000112493,3.26E-05,1.85E-09,5.11E-06,-6.91E-10,300.7827403,42.2739547,136.9641302,-124.5472318,-124.5472318,206.0925648,69.37235649,68.24954212,13,5.531366729,5,26.00011312,26.00736963,nan,nan,0.097971481,-0.001703555,nan,0.089089579,-0.002864415,0.01807693,0.147419574,-0.002872517,0.019908108,-0.001069659,-0.000550283,0.024792545,-0.001298489,0.005158459,37.24482862,164.1665222,0.949083503,1398,33822,1009736,33568992,38595,1107851,36091637,1266683945,1353621,42152225,1436076499,51904295999,0.38213587,0.014628711,0.155864684,0.085381681,0.00223872,0.006020437,0.041466339,0.060385046,0.035056207,0.004769823,0.006392696,0.002178081,0.01311851,0.015409065,0.022390434,0.018310683,0.003121759,0.003827546,0.004942602,0.000668647,0.002204324,0.001483369,0.002163697,0.008653197,0.010861317,0.000496256,0.002696003,0.002888672,0.003287089,0.000905774,1,1881.193133,707.6072961,0,6.133399413,1876.152597,704.1127888,0,14,18,18
